track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,11,29,14,0,0,123,F#,Minor,-1.7270956767907293,-0.77008748877937,-2.390689298914502,2.5886009877954406,-0.1886134947097773,-0.37695993262509286,-0.7398039216909645
Infinity,Jaymes Young,1,2017,6,23,4375,0,888046992,24,0,396,0,0,122,B,Minor,-1.0474691333989625,0.9231058972701836,1.6540876780215514,-1.0391435748229285,-0.1886134947097773,-0.524195617129314,-0.35036978275931413
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,7,18,7,0,0,135,C#,Major,0.24382129904539446,-1.574354347152908,-0.21273246517970393,-0.9997115687075114,-0.1886134947097773,0.3592184898960126,2.1809521202964133
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3,18,14,0,0,87,E,Minor,-2.202834257164966,-1.1510560006405195,1.7785423542349685,-1.0391435748229285,-0.1886134947097773,-0.5978134593814245,-0.2530112480264015
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011,382,65,497,0,12,111,G#,Major,-0.503767898685549,-0.47377864622069815,1.5296330018081346,-0.684255519784175,-0.1886134947097773,3.0830786532241032,-0.44772831749222675
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9,10,9,0,0,110,D,Major,0.4477092620629245,1.1770849051776167,0.09840422535383865,-0.6053915075533409,-0.1886134947097773,-0.7450491438856457,0.5258570298368993
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1,8,6,0,0,78,A,Minor,0.31178395338457116,0.6691268893627504,0.4717682539940897,-1.0391435748229285,-0.1886134947097773,-0.37695993262509286,-0.642445386958052
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538,38,48,20,0,0,180,D,Major,0.1758586447062178,0.5844672200602729,0.5962229302075067,-0.9997115687075114,-0.1886134947097773,1.1690147546692287,-0.642445386958052
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,0,86,A,Minor,0.991410496776338,1.2194147398288553,1.342950987488009,-0.9997115687075114,-0.1886134947097773,0.8745433856607865,0.2337814256381615
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,920797189,173,7,298,0,4,88,C#,Minor,0.7875225337588079,-0.3044593076157428,-0.6483238319266635,0.5775686759091708,-0.1886134947097773,-0.37695993262509286,1.3047253077002001
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,539595276,68,18,75,0,1,97,C#,Major,-0.8435811703814324,-1.7436736857578634,1.2807236493813003,-0.7631195320150091,-0.1886134947097773,-0.7450491438856457,0.9152911687685498
Beggin,Mï¿½ï¿½ne,1,2017,12,8,8559,0,1367810478,183,64,964,9,75,134,B,Minor,0.6515972250804546,0.3728180468040786,-2.017325270274251,2.273144938872104,-0.1886134947097773,-0.7450491438856457,-0.5450868522251393
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856,67,13,139,0,40,116,D,Major,-0.7756185160422557,0.41514788145531745,0.7206776064209238,-0.644823513668758,-0.1886134947097773,-0.3033420903729823,0.03906435617233629
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072,61,65,53,6,0,170,E,Minor,1.5351117314897513,0.9654357319214224,-0.6483238319266635,-0.4082314769762556,-0.1886134947097773,-0.37695993262509286,1.6941594466318504
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,656013912,240,107,268,0,5,118,G,Minor,1.195298459793868,1.7273727556437215,-0.6483238319266635,-0.4082314769762556,-0.1886134947097773,0.8009255434086759,-0.35036978275931413
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,1,240684449,14,3,81,0,0,133,F#,Minor,1.6710370401681047,-0.8547471580818476,1.5296330018081346,-0.9208475564766774,-0.1886134947097773,-0.7450491438856457,1.4020838424331128
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,1,5,6,0,0,122,A#,Major,-1.3872824050948458,-0.050480299708309764,0.9695869588477579,-0.644823513668758,-0.1886134947097773,1.0217790701650076,2.6677447939609764
Oh My God,Adele,1,2021,11,19,4431,0,466214729,105,7,199,0,0,88,C#,Major,-1.0474691333989625,-0.3044593076157428,-0.27495980328641245,0.5381366697937537,-0.1886134947097773,0.5800720166523443,-0.7398039216909645
